sleep_date,HKCategoryValueSleepAnalysisAsleepCore,HKCategoryValueSleepAnalysisAsleepDeep,HKCategoryValueSleepAnalysisAsleepREM,HKCategoryValueSleepAnalysisAsleepUnspecified,HKCategoryValueSleepAnalysisAwake,HKCategoryValueSleepAnalysisInBed,total_sleep,total_sleep_minutes
2021-12-06,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-07,0.0,0.0,0.0,0.0,0.0,5.575555555555556,0.0,0.0
2021-12-08,0.0,0.0,0.0,0.0,0.0,7.784166666666667,0.0,0.0
2021-12-09,0.0,0.0,0.0,0.0,0.0,8.031666666666666,0.0,0.0
2021-12-10,0.0,0.0,0.0,0.0,0.0,7.478611111111111,0.0,0.0
2021-12-11,0.0,0.0,0.0,0.0,0.0,7.52,0.0,0.0
2021-12-12,0.0,0.0,0.0,0.0,0.0,7.199722222222222,0.0,0.0
2021-12-13,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-14,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-12-15,0.0,0.0,0.0,0.0,0.0,7.218055555555556,0.0,0.0
2021-12-16,0.0,0.0,0.0,0.0,0.0,7.744722222222222,0.0,0.0
2021-12-17,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-12-18,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-19,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-20,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-21,0.0,0.0,0.0,0.0,0.0,7.405,0.0,0.0
2021-12-22,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-12-23,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-24,0.0,0.0,0.0,0.0,0.0,6.838888888888889,0.0,0.0
2021-12-25,0.0,0.0,0.0,0.0,0.0,5.678055555555556,0.0,0.0
2021-12-26,0.0,0.0,0.0,0.0,0.0,7.413055555555555,0.0,0.0
2021-12-27,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-28,0.0,0.0,0.0,0.0,0.0,7.417222222222223,0.0,0.0
2021-12-29,0.0,0.0,0.0,0.0,0.0,7.365,0.0,0.0
2021-12-30,0.0,0.0,0.0,0.0,0.0,6.516666666666667,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0,0.0,6.829444444444444,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,7.349166666666667,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,8.027777777777779,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2022-01-06,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-01-07,0.0,0.0,0.0,0.0,0.0,7.186388888888889,0.0,0.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,7.878333333333333,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,7.658055555555555,0.0,0.0
2022-01-10,0.0,0.0,0.0,0.0,0.0,7.797499999999999,0.0,0.0
2022-01-11,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0,0.0,6.128611111111111,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0,0.0,7.528333333333333,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-01-17,0.0,0.0,0.0,0.0,0.0,7.545277777777778,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-01-20,0.0,0.0,0.0,0.0,0.0,6.553333333333334,0.0,0.0
